frame,frame_path,title,artist
20,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000020.png,emi 배비19,개 은
20,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000020.png,el,기노
50,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000050.png,게이,fl BPR
50,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000050.png,21429          Hts,ee
80,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000080.png,iit 개,AUK
80,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000080.png,10061,IfFE F FEE
90,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000090.png,aaa,600
130,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000130.png,AV,—«
130,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000130.png,“hn . 0040 Ty Bal  far te,am 보바 mit
130,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000130.png,Pe Bus: 00000. Orig,Setar tH ieee  0000 oN
140,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000140.png,leit fl 00006    ea sear          .,twain
160,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000160.png,per,Ve
170,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000170.png,wom,ㅣ a 길   120
180,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000180.png,Dare Wu   :,EY reat
180,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000180.png,vii,버그 Bis lig tm Big mreitahe
180,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000180.png,TUR. Amero,MEEREEEREREGQ
200,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000200.png,(vit,et
200,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000200.png,nt,“det 거구
220,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000220.png,Sr Cera ea a,ee
220,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000220.png,Aine     I,me
240,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000240.png,the: 도 mere ae,00152
260,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000260.png,tees Fe,PAR
290,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000290.png,| /성,_—
290,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000290.png,id,hb
290,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000290.png,|: 디마 토트 ad =,pea ell  |
300,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000300.png,AUVGNIGGUE           eee eee es,ga  eee Eo
360,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000360.png,ey,oe Liinuorvh Prayer
400,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000400.png,hight!,오른
410,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000410.png,aes,|          ne
410,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000410.png,t        Ls OMG,j      of sane
460,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000460.png,Bae,"ee, 에"
480,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000480.png,oe,|                    =
490,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000490.png,노드,bis
520,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000520.png,[오로,rte
570,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000570.png,re i,Onhee
580,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000580.png,나이,바이오 이 사스 1 i 이현 이이
580,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000580.png,tn  18000 그나 aA       7 at,"분,"
600,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000600.png,"Mes, ee ae a  ac Elec)",| geal
600,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000600.png,ein,~ = 나
610,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000610.png,수레 i,0 재
620,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000620.png,vm,"“aT,"
630,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000630.png,그 해 ADT aca dann,"""5"
650,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000650.png,"J,    7163 is",6 hii
670,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000670.png,"주위 ,",} 10009 대
680,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000680.png,SGV,ve
680,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000680.png,I=,=n
680,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000680.png,11 뀌,ee
700,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000700.png,ay AE,:   lg
700,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000700.png,Gat,ot
710,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000710.png,cel nie,Co   ere Haste Bl Poe ae
730,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000730.png,ttt el,Sees
750,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000750.png,| ㅣ,Jes ute
750,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000750.png,| |,"Pit POR ACAI Ue IMIG, EN"
750,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000750.png,ie     Lax               en?,WoT
750,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000750.png,cot,=         ^
790,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000790.png,~ 0 ㅣ,ronal lFpatieoet
790,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000790.png,"re   01   770 =""",뜨개
790,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000790.png,Re Oi ON 0,“7
790,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000790.png,ise Rananate 대,| |
790,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000790.png,oo,ni  gy
790,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000790.png,더해,oe
800,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000800.png,GT ame,ER Tyra ae
840,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000840.png,"[003!200 AMindr 8.150,",din Kwort
850,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000850.png,바노,TDR |
860,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000860.png,"A, i.",퍼서 대가 지토 이 이
880,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000880.png,a :  TS,Ree art si
880,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000880.png,|                     Z                       ;           :,0 eee
910,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000910.png,#                           5,"RAE} ,"
920,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000920.png,ts,oa 4
920,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000920.png,ih,ee
960,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000960.png,"le, ER -",ied
970,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000970.png,ㆍ                  wa,[| |
970,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000970.png,뽀로,=n
980,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_000980.png,1.,fee?
1010,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001010.png,"~,",ot sterile aes
1010,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001010.png,are,< ae
1020,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001020.png,™..,es
1030,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001030.png,Ls,iz
1060,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001060.png,180 애]이면헤  on,im.         ao)
1090,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001090.png,ch,나)
1090,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001090.png,ok,Pate
1100,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001100.png,ae,(ag
1160,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001160.png,Mil SEE     r,hard Steet
1160,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001160.png,As Sot,<a raed
1160,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001160.png,on vac,hbo
1170,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001170.png,+ File,트랩
1180,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001180.png,16) ie,rays
1190,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001190.png,사류,WA
1210,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001210.png,ea,로       ~         ‘wie a8
1210,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001210.png,u Fe UES,Cid ~     Ki
1230,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001230.png,sek,ae 더
1240,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001240.png,at,들   .
1270,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001270.png,"oy WA,",nS
1270,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001270.png,Fagg”,eee Lt 그리
1270,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001270.png,eg 010  -교 -,가보
1280,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001280.png,"$a"")",AA UI 이
1300,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001300.png,HOUSE CES:,| 0따디 도
1300,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001300.png,를 en    ee oo      =       ae =,lene dew «
1320,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001320.png,eee,i  Le AA
1370,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001370.png,Na,"hn,"
1400,C:\likebox-test\KakaoTalk_20250304_012252012_frames\frame_001400.png,Ory,나 =
